time,utilization
0.1,24
0.4,28
0.7,56
1.0,31
1.3,24
1.6,35
1.9,24
2.2,26
2.5,37
2.8,54
3.1,24
3.4,25
3.7,33
4.0,24
4.3,22
4.6,52
4.9,51
5.2,22
5.5,33
5.8,24
6.1,23
6.4,33
6.7,48
7.0,24
7.3,23
7.6,42
7.9,23
8.2,23
8.5,32
8.8,22
9.1,23
9.4,33
9.7,55
10.0,24
10.3,26
10.6,51
10.9,31
11.2,23
11.5,35
11.8,23
12.1,23
12.4,34
12.7,54
13.0,24
13.3,25
13.6,54
13.9,30
14.2,27
14.5,36
14.8,29
15.1,22
15.4,31
15.7,52
16.0,21
16.3,24
16.6,53
16.9,23
17.2,23
17.5,23
17.8,23
18.1,23
18.4,31
18.7,24
19.0,25
19.3,34
19.6,59
19.9,24
