train_model,infer_model,server_num,train_deg,infer_deg
deepfm,mobilenet,1,2.63,3.24
deepfm,mobilenet,2,0.34,5.76
deepfm,mobilenet,3,2.92,1.20
deepfm,mobilenet,4,8.13,2.92
deepfm,mobilenet,5,11.87,5.64
deepfm,mobilenet,6,13.91,4.03
deepfm,mobilenet,7,15.16,3.18
deepfm,mobilenet,8,28.44,3.41
vgg,deepvit,1,4.63,8.22
vgg,deepvit,2,19.37,21.28
vgg,deepvit,3,32.47,40.89
vgg,deepvit,4,48.10,63.80
vgg,deepvit,5,59.63,91.00
vgg,deepvit,6,78.78,112.95
vgg,deepvit,7,98.03,133.14
vgg,deepvit,8,109.29,155.35
roberta,vgg,1,11.42,0.89
roberta,vgg,2,34.47,6.04
roberta,vgg,3,115.75,7.88
roberta,vgg,4,186.86,17.83
roberta,vgg,5,245.77,24.11
roberta,vgg,6,284.22,45.74
roberta,vgg,7,301.28,54.53
roberta,vgg,8,330.31,73.83
